dataset,algorithm,n_jobs,total_completion_time_Sigma_Cj,avg_completion_time,avg_waiting_time,total_flow_time,avg_flow_time,total_tardiness,tardy_jobs,makespan,big_o,runtime_ms,job_sequence,total_weighted_completion_time_Sigma_wCj
Small Data,FIFO,10,1791,179.1,131.6,1718,171.8,586,6,402,O(n) processing / O(n log n) incl. sort,0.1311,J1 -> J2 -> J5 -> J9 -> J3 -> J7 -> J4 -> J10 -> J6 -> J8,
Small Data,SPT,10,1621,162.1,114.6,1548,154.8,512,5,402,O(n^2),0.1614,J1 -> J9 -> J7 -> J3 -> J5 -> J2 -> J10 -> J8 -> J4 -> J6,
Small Data,EDD,10,1790,179.0,131.5,1717,171.7,514,6,402,O(n^2),0.0274,J2 -> J9 -> J7 -> J1 -> J5 -> J10 -> J4 -> J3 -> J8 -> J6,
Small Data,WSPT,10,2004,200.4,152.9,1931,193.1,782,6,402,O(n^2),0.0303,J2 -> J9 -> J3 -> J1 -> J10 -> J8 -> J4 -> J6 -> J5 -> J7,6255
Large Data,FIFO,1000,27665363,27665.36,27366.16,27421509,27421.51,27283868,997,55348,O(n) processing / O(n log n) incl. sort,2.2953,J0100 -> J0427 -> J0692 -> J0175 -> J0885 -> J0629 -> J0652 -> J0085 -> J0501 -> J0363 -> J0217 -> J0435 -> J0611 -> J0740 -> J0647 -> J0037 -> J0103 -> J0170 -> J0996 -> J0274 -> ...,
Large Data,SPT,1000,19510314,19510.31,19211.11,19266460,19266.46,19132587,944,55348,O(n^2),100.4814,J0100 -> J0233 -> J0609 -> J0206 -> J0079 -> J0371 -> J0923 -> J0062 -> J0890 -> J0876 -> J0641 -> J0992 -> J0815 -> J0503 -> J0408 -> J0973 -> J0268 -> J0916 -> J0607 -> J0847 -> ...,
Large Data,EDD,1000,26230828,26230.83,25931.63,25986974,25986.97,25849219,999,55348,O(n^2),135.9342,J0100 -> J0175 -> J0647 -> J0053 -> J0233 -> J0274 -> J0489 -> J0162 -> J0402 -> J0206 -> J0996 -> J0611 -> J0217 -> J0079 -> J0652 -> J0609 -> J0943 -> J0901 -> J0170 -> J0276 -> ...,
Large Data,WSPT,1000,21362013,21362.01,21062.81,21118159,21118.16,20981894,972,55348,O(n^2),149.8304,J0100 -> J0274 -> J0053 -> J0489 -> J0675 -> J0203 -> J0738 -> J0087 -> J0394 -> J0365 -> J0847 -> J0220 -> J0265 -> J0444 -> J0181 -> J0025 -> J0948 -> J0342 -> J0874 -> J0708 -> ...,77921216
